row_key,chm_m,topo_elevation,topo_slope,topo_aspect_cos,topo_aspect_sin,topo_tpi,dist_years_since
0,30.99454505133269,538.8941040039062,24.001928329467773,0.3494112403485908,-0.8396238088554338,-48.040103912353516,100.0
1,32.55211629772079,595.9133911132812,29.13231086730957,0.8352979171482342,0.5273080236437346,36.24428939819336,67.04424305099018
2,31.397590766083912,554.1201171875,27.885459899902344,-0.9840065724249794,-0.10097947989681645,-41.31953430175781,100.0
3,30.007732044730673,460.7913513183594,23.342655181884766,-0.7528923886937154,0.5960006808620941,-73.4568862915039,100.0
4,34.30096977881871,561.8030395507812,25.058149337768555,0.6759890697060384,-0.5796987511213229,-32.206207275390625,100.0
5,32.14097468143868,640.8956298828125,6.1833367347717285,0.39031344733252643,0.7151032148005178,55.13328552246094,100.0
6,29.00550124662001,476.5041198730469,26.675939559936523,-0.9903583893787127,-0.04640181004528105,-6.8979997634887695,100.0
7,32.071058239046366,490.2141418457031,29.329326629638672,-0.874366692652311,-0.432692695118049,4.7065582275390625,100.0
8,34.58343111288157,555.9497680664062,38.44391632080078,0.8934758409389226,0.39918428128347305,17.134441375732422,100.0
9,31.331177185448965,627.9993896484375,18.97923469543457,0.9396781958274399,0.2624219952279335,26.17498779296875,100.0
10,28.97369299535809,482.19293212890625,34.50901412963867,-0.4705899922248618,0.8794896532407949,5.966457366943359,100.0
11,32.88735145948364,509.01300048828125,29.11842918395996,0.7666134512967697,-0.6120820645246147,56.89436340332031,100.0
12,30.535066026512805,471.5592956542969,34.78733444213867,-0.27402693529334277,0.953635919837669,5.056229591369629,100.0
13,30.881652337180263,315.0402526855469,25.373109817504883,0.6959586810729754,0.6413816332616238,-66.92584991455078,100.0
14,32.234480187352,315.18597412109375,29.061206817626953,-0.4172378155142732,0.9036433519538033,-39.733665466308594,100.0
15,32.069569860677994,671.7748413085938,17.745750427246094,0.8087449018794103,0.5411474093709181,-17.50919532775879,89.26817965583788
16,30.10506029647243,543.6799926757812,14.546842575073242,-0.3162984431512468,-0.8645182639119648,-21.079998016357422,100.0
17,34.17384755078776,657.046142578125,15.863850593566895,0.9110503464421406,-0.12511224691326556,-14.883952140808105,100.0
18,32.308584943887375,630.5253295898438,13.26887035369873,0.16480321254268915,-0.9753518611625265,-6.121635913848877,76.00097787521348
19,29.40941517518995,606.8450317382812,20.740459442138672,0.16474169810891187,-0.9528143442461363,-25.873531341552734,100.0
20,31.044724138123513,753.7459716796875,7.0370707511901855,-0.651433367380942,0.45088245398564153,-42.12718963623047,100.0
21,30.226532336481498,855.46142578125,3.4176504611968994,0.5571726552145438,0.5158962687644327,0.6598430275917053,100.0
22,29.791679994953792,813.4041137695312,16.201364517211914,-0.115940393483083,-0.9758529165091588,-15.691814422607422,100.0
23,32.719197037081926,884.7750854492188,3.4091715812683105,-0.09599247440809922,-0.8470179683069128,5.619408130645752,100.0
24,31.141584496080316,1003.433349609375,15.082771301269531,-0.540392806430951,-0.8386647492550857,12.883042335510254,100.0
25,30.560996645110894,532.22314453125,4.5975022315979,0.28686233733189853,-0.1257136232651144,-34.255611419677734,85.52790791832051
26,28.309552325116304,545.9944458007812,13.105036735534668,0.780587427007251,-0.25676055625299593,20.945526123046875,54.015949399914746
27,33.638908679922174,573.5874633789062,20.26683235168457,0.4334659958657905,0.8542760688861636,4.973452091217041,100.0
28,30.899732362283462,638.073974609375,23.721744537353516,-0.2135374395886176,0.9600846854609852,1.5430198907852173,86.19329146230577
29,31.751069515648705,521.4725341796875,12.600159645080566,-0.2903835633105155,-0.8884370299989658,3.443814277648926,100.0
30,30.99316873931547,573.458984375,17.127676010131836,-0.8066630915252976,0.576038402079931,11.42077922821045,100.0
31,22.825587298260324,573.0783081054688,12.372490882873535,0.7978478223475988,0.41778546849742104,-14.827250480651855,50.37414352928701
32,26.613776064196053,532.3403930664062,6.158961296081543,-0.8245604513367385,-0.3889053150526929,-15.81234359741211,93.36088065835051
33,31.9972076401063,525.291259765625,11.24410629272461,0.7512072688234191,0.4705161411277624,-15.717053413391113,100.0
34,31.811452943899923,546.2474975585938,25.076189041137695,0.40689172216763114,-0.8955378788439653,0.8719027042388916,100.0
35,33.46196796320828,625.9031372070312,19.551408767700195,0.05834730542824238,-0.9707593418254976,27.237707138061523,100.0
36,31.007735726696065,669.7023315429688,14.230018615722656,0.3444489198795386,-0.9096000341808181,26.297060012817383,100.0
37,32.27004753022326,687.6021728515625,27.648679733276367,-0.8019256138356218,-0.5131646699324246,7.060098171234131,100.0
38,33.36375204776533,591.321533203125,26.28752899169922,-0.23972775182622955,0.9602583935148251,-14.644197463989258,100.0
39,31.183145550473476,643.7969970703125,22.56908416748047,-0.9463426430704166,0.3142661414335204,-8.207908630371094,100.0
40,31.37281294667077,602.4368896484375,19.278589248657227,0.9830189350300832,-0.13653950550021993,3.5177175998687744,75.68662056576993
41,34.34075501593094,668.8814086914062,23.203842163085938,0.7227673524368956,-0.5500252844603719,-15.280157089233398,100.0
42,32.165823642690334,582.3736572265625,18.314279556274414,-0.27508688216428495,0.9229491050125825,11.072003364562988,24.315628269443256
43,32.14185087581119,624.344482421875,21.13423728942871,-0.06435461888846362,-0.9951899379872376,18.497146606445312,100.0
44,33.332501800211226,678.34130859375,21.158830642700195,-0.8953969238173336,-0.41769825178634673,29.625774383544922,100.0
45,33.25281934052363,674.4181518554688,14.582075119018555,0.8857443194126252,0.15120303282802194,-20.249948501586914,100.0
46,33.01066929073426,604.023193359375,21.005048751831055,0.11002964633505335,-0.9911650000029403,2.406175374984741,15.149624496101177
