row_key,agbd_mu,clim_pr,clim_tmmx,clim_aet
0,,104.60416666666667,18.74375,759.6458333333334
1,161.88156127929688,104.60416666666667,18.74375,759.6458333333334
2,233.1165771484375,103.89583333333333,18.8375,760.4166666666666
3,,104.60416666666667,18.74375,759.6458333333334
4,160.74337768554688,103.89583333333333,18.8375,760.4166666666666
5,160.74337768554688,103.89583333333333,18.8375,760.4166666666666
6,,104.60416666666667,18.74375,759.6458333333334
7,,103.89583333333333,18.8375,760.4166666666666
8,,103.89583333333333,18.8375,760.4166666666666
9,,104.60416666666667,18.74375,759.6458333333334
10,,103.89583333333333,18.8375,760.4166666666666
11,,103.89583333333333,18.8375,760.4166666666666
12,,103.89583333333333,18.8375,760.4166666666666
13,,103.89583333333333,18.8375,760.4166666666666
14,,103.89583333333333,18.8375,760.4166666666666
15,220.21826171875,95.8125,18.195833333333333,739.4791666666666
16,207.67633056640625,95.8125,18.195833333333333,739.4791666666666
17,215.81976318359375,97.1875,18.277083333333334,744.7916666666666
18,207.67633056640625,97.1875,18.277083333333334,744.7916666666666
19,182.95106506347656,97.1875,18.277083333333334,744.7916666666666
20,,98.54166666666667,16.760416666666664,721.125
21,,97.89583333333333,16.820833333333333,720.75
22,,98.54166666666667,16.760416666666664,721.125
23,,97.89583333333333,16.820833333333333,720.75
24,,98.54166666666667,16.760416666666664,721.125
25,,96.35416666666667,18.360416666666666,744.5625
26,100.23451232910156,98.625,18.65625,753.1041666666666
27,180.46412658691406,98.33333333333333,18.345833333333335,748.9375
28,,97.58333333333333,18.28125,746.9791666666666
29,,98.625,18.65625,753.1041666666666
30,,98.33333333333333,18.345833333333335,748.9375
31,,97.58333333333333,18.28125,746.9791666666666
32,228.96157836914062,96.10416666666667,18.539583333333333,746.5208333333334
33,364.8875427246094,95.64583333333333,18.691666666666666,746.6041666666666
34,,98.625,18.65625,753.1041666666666
35,,98.33333333333333,18.345833333333335,748.9375
36,,97.58333333333333,18.28125,746.9791666666666
37,,98.33333333333333,18.345833333333335,748.9375
38,,98.33333333333333,18.345833333333335,748.9375
39,,97.58333333333333,18.28125,746.9791666666666
40,,97.58333333333333,18.28125,746.9791666666666
41,,98.33333333333333,18.345833333333335,748.9375
42,,97.58333333333333,18.28125,746.9791666666666
43,196.37451171875,97.58333333333333,18.28125,746.9791666666666
44,196.37451171875,97.58333333333333,18.28125,746.9791666666666
45,,96.75,18.408333333333335,746.3333333333334
46,,98.47916666666667,18.454166666666666,751.5208333333334
47,,98.0625,18.341666666666665,748.2708333333334
48,,98.47916666666667,18.454166666666666,751.5208333333334
49,,98.0625,18.341666666666665,748.2708333333334
50,,98.0625,18.341666666666665,748.2708333333334
51,,98.54166666666667,18.76875,755.5416666666666
52,,98.1875,18.683333333333334,754.9791666666666
53,,98.54166666666667,18.76875,755.5416666666666
54,230.60667419433594,100.22916666666667,17.516666666666666,740.7916666666666
55,189.23199462890625,100.22916666666667,17.516666666666666,740.7916666666666
56,171.01820373535156,100.22916666666667,17.516666666666666,740.7916666666666
57,255.13304138183594,100.41666666666667,17.641666666666666,742.9166666666666
58,,100.91666666666667,17.641666666666666,744.8958333333334
59,188.93630981445312,100.72916666666667,17.952083333333334,748.5833333333334
60,181.94155883789062,100.72916666666667,17.952083333333334,748.5833333333334
61,188.2896728515625,100.72916666666667,17.952083333333334,748.5833333333334
62,,100.91666666666667,17.641666666666666,744.8958333333334
63,233.21876525878906,100.72916666666667,17.952083333333334,748.5833333333334
64,233.21876525878906,100.72916666666667,17.952083333333334,748.5833333333334
65,213.47998046875,100.72916666666667,17.952083333333334,748.5833333333334
66,192.7565155029297,100.72916666666667,17.952083333333334,748.5833333333334
