plot_id,rh98,cover,pai,fhd_normal,gedi_n_samples,gedi_temporal_coverage_months
184.0,19.6437450221099,0.5798141084853626,2.109141918357693,2.710812717240597,1,1
185.0,19.55637839552365,0.6149346581103956,2.527216544252838,2.61212084330909,1,1
186.0,18.154179811601548,0.5196957009876101,2.0015181623373017,2.6945108076669264,1,1
188.0,19.895302173928705,0.6253130648532345,2.589709583230824,2.6636866833911745,1,1
189.0,18.36758063312642,0.5717799501636317,2.274910056551465,2.632705753811053,2,2
190.0,20.983030141000445,0.5398647084714466,2.24723512279224,2.611524760228271,2,2
191.0,19.971321421545472,0.5296890105840163,2.056099786611592,2.7016215449412657,1,1
192.0,20.15233398481493,0.5679080780616388,2.210521792157773,2.6800427995111784,1,1
193.0,26.764969929766018,0.6484990428532345,2.7094741723129103,2.7700518824729445,1,1
194.0,25.66606892232521,0.5141264368397099,1.9466295019276512,2.961189987007564,1,1
195.0,20.305073119652462,0.5247850004017109,1.8161700996644272,2.779334809289864,1,1
196.0,25.20628396888896,0.4820409409249864,1.786414326451884,2.9540577178948846,1,1
197.0,23.696534311253767,0.3471853921414523,1.0550344854845444,2.8252498497836824,1,1
198.0,25.57021157880801,0.4879636712041538,1.674200837949404,2.975992620320781,1,1
199.0,24.837739549847072,0.4666570302180007,1.5403959863217929,2.8695622398831224,1,1
35.0,19.51970925227388,0.4356660458693701,1.5717127005394873,2.7501151416224947,2,2
37.0,22.628450088045497,0.4231594074271433,1.5012982738290006,2.876247697290601,1,1
38.0,26.519184030126823,0.3936494699649265,1.396945700407742,3.0432416388527725,2,2
39.0,25.474240424376827,0.4504975900525873,1.5735377920478653,2.986615563723478,1,1
40.0,22.72431122793305,0.4380873090405683,1.4436060717829842,2.946523560455802,1,1
41.0,,,,,0,0
46.0,,,,,0,0
47.0,,,,,0,0
50.0,,,,,0,0
51.0,,,,,0,0
53.0,19.987942084570097,0.2608056415388372,0.7530332218671655,2.850530906536697,1,1
56.0,20.490909402842256,0.3990693870021354,1.3153503529790558,2.8087268790142086,1,1
57.0,19.90925612719125,0.4630486863338766,1.639605374003391,2.7323086431094863,1,1
58.0,17.76794099068263,0.3470982519461343,1.0655638090935284,2.6332922313019496,1,1
60.0,22.517261758621164,0.4557177730729508,1.687036347195126,2.9074506838141705,1,1
61.0,24.87310292424429,0.4631795251187554,1.6230510768713848,2.8791998291249974,1,1
62.0,15.53535606165015,0.4270702857096921,1.6070005176906843,2.4442091296868087,1,1
63.0,21.282322747803114,,,,1,1
64.0,23.164981658908715,,,,1,1
67.0,24.70810760090628,0.4945215502021952,1.6815552130782452,2.9790373854829824,1,1
68.0,23.95682585659459,0.568578392810078,2.0521633724415422,2.908634177676429,1,1
69.0,19.73246489626424,0.5379698934278228,1.9621786442260265,2.678011047403806,1,1
73.0,20.71863604434786,0.5340467721533689,1.957594407272477,2.773001766271931,2,2
74.0,21.24327903436709,0.5721311233063817,2.207577810040998,2.7635048850074027,2,2
75.0,,,,,0,0
76.0,,,,,0,0
78.0,25.617359815900706,0.4596942038514881,1.587769693173671,2.9951565725647886,1,1
79.0,24.283912367602564,0.3879334977405805,1.1193636362612638,3.015107196103043,1,1
80.0,,,,,0,0
82.0,,,,,0,0
84.0,28.91624359245623,0.5439795663354143,2.263179911505494,2.896387129117425,1,1
85.0,22.946610988219213,0.5487130208096259,2.1519502716500645,2.7728694470085995,2,2
86.0,20.293972482089764,0.4228411506901639,1.557037724915574,2.572870524810865,1,1
87.0,19.2545968376184,0.2393159486098847,0.6575444182065299,2.638419591720342,1,1
88.0,22.116737031107807,0.2660669716636705,0.707213931915724,2.9757959508843785,2,2
89.0,16.387718035602248,0.4838017282837806,1.8367440032658584,2.5866562129222395,1,1
90.0,25.931383302858432,0.3832842803286366,1.1304887080904973,3.1046342382772987,1,1
91.0,20.400154830958204,0.2858966265244172,0.8700525368652865,2.7872129307528755,1,1
93.0,31.26010901499514,0.5475162680601384,2.3016093825246857,3.209016066547949,1,1
94.0,,,,,0,0
95.0,14.479802640475016,0.1510941011802265,0.3783026764692137,2.502723465181036,1,1
96.0,17.341848282758765,0.6617489019408822,3.2005670249462126,2.939528751373291,1,1
97.0,22.3770949852186,0.8040586102336412,3.7894280593068497,3.122013126395585,1,1
100.0,28.92385717375648,0.8459605605597433,4.1942970008966,3.187981312175122,1,1
101.0,28.057999815258786,0.6775794009367625,3.211889413992564,3.1564268589019777,1,1
102.0,17.998636468417082,0.6772677600383759,2.477531522512436,3.282069742679596,1,1
103.0,17.82112087880328,0.6839489545622045,2.8822611725382874,3.000973871659265,1,1
105.0,17.36251011188719,0.5033581540360208,2.283015634795261,2.5966018121759427,1,1
106.0,25.01502134136968,0.7168052205899199,3.43091771383537,3.058481469354992,1,1
111.0,22.97234042580751,0.6679027303257714,3.0981131323663336,2.9129529211018648,1,1
112.0,22.208937889073155,0.5162080208687894,1.8777699297776576,2.9557903615984062,1,1
118.0,19.24279871765617,0.3615210242505099,1.1903189791288915,2.620917651554036,1,1
135.0,24.164098522304347,0.728837591502385,3.294895703349609,2.830631037294256,1,1
136.0,26.840544414747946,0.510868408490282,2.0532258102883625,2.507278071124342,1,1
137.0,40.94087564888528,0.7143785801768212,3.2380918687635027,2.742865241677622,1,1
139.0,47.06908524427234,0.8895178949320828,4.583167113600434,3.213967388564652,1,1
141.0,28.29481673898084,0.6588561125519005,2.583509546119055,2.6634963127844755,2,2
142.0,27.529441000712428,0.6011755267779032,2.5146505605606806,2.7485719181242443,2,2
144.0,32.507895284268166,0.7784526999542141,3.3478606626530087,2.8936546188830903,1,1
145.0,,,,,0,0
150.0,24.462492309447214,0.7589685561315181,3.289362816574452,2.981878815082263,1,1
152.0,26.49418473203401,0.473580173175986,1.7769260564420235,3.037183478948424,1,1
153.0,23.28118244113814,0.6511784690554834,2.710939469606489,2.901415122447643,2,2
154.0,22.58507613964101,0.5059642119051716,2.055702026652441,2.981866521810008,1,1
155.0,21.90860728818597,0.4458408739963705,1.5201040851515548,2.9547031341936645,1,1
156.0,25.356828750354587,0.6399985461999081,2.616522867230617,3.017961735378201,2,2
159.0,21.407154169206915,0.3006351413360641,0.8877223452864395,2.786262253072054,1,1
160.0,24.32433005166552,0.5684260978460338,2.229206226449268,2.9722452876732985,1,1
165.0,26.2896690731149,0.6408680246000807,2.7406716761840766,2.93713647075727,1,1
176.0,18.87115666872868,0.637583800146608,2.429225213717613,2.7691980199857533,1,1
327.0,18.52833315261319,0.5533705894373124,1.7794152989201395,2.746063361326517,1,1
1.0,21.110833488174936,0.6711091589069592,2.6211801613018952,2.808413509950973,1,1
2.0,22.663697059848136,0.6244794729336147,2.490555314684967,2.8020839987941395,1,1
3.0,42.44959400643347,0.8416280907143657,3.805598218872344,3.2567210504596327,1,1
4.0,19.43902486484581,0.6321177656189368,2.456276153347705,2.7523393067709216,1,1
5.0,22.30016384049542,0.7480867241413589,3.1542856778655324,2.890827517598689,1,1
6.0,21.609848292753547,0.6840880949246059,2.739977342985097,2.8040808956739944,1,1
7.0,39.755805706149246,0.8729576189126541,4.279482832951333,3.1407639350464094,1,1
8.0,53.21417982260991,0.8576149075588179,4.007610492884671,3.0901884940356057,1,1
9.0,42.520126803318085,0.8792450378093812,4.494768526753768,3.238466570865596,1,1
10.0,40.86333369209798,0.8427758879131741,3.980442974302504,3.287660863664416,1,1
11.0,20.71792337423286,0.6726272369306076,2.7895101152250965,2.821998732115445,2,2
12.0,20.91671875364829,0.6796512229808604,2.923236136022587,2.8147277926777106,2,2
13.0,19.14481220709765,0.6921356505413959,2.959659241818429,2.7280855933317265,1,1
14.0,17.930601938639715,0.6204524404738815,2.446102433395407,2.6763959807425244,1,1
15.0,35.68611254142766,0.8790761142729178,4.464738111949005,3.177289740897224,1,1
16.0,34.550418168288104,0.880861033252701,4.54747382408221,3.207767990311277,1,1
17.0,32.09844556568049,0.8853122143633406,4.718817498155697,3.226989736594345,1,1
18.0,40.23260915531324,0.8579046739184338,4.199466155922932,3.2816906027171924,1,1
19.0,26.616060216631155,0.7779554418179008,3.4566846144280325,3.083199942361861,1,1
20.0,22.59362750843039,0.6952205975466813,2.882437484880437,2.874702018610173,2,2
21.0,22.26580823366026,0.7288858947870177,3.088894479421534,2.9137591438808186,2,2
22.0,18.7391755377126,0.6487018278848132,2.6317363863520145,2.729335089544791,2,2
23.0,18.21729195514711,0.6141404393320149,2.598359411357236,2.6791726572441967,2,2
24.0,15.924887326992884,0.5851085974677026,2.354406265289263,2.57817745906886,2,2
25.0,16.855333287980823,0.6445246882736683,2.6154002018272875,2.651523317231072,1,1
26.0,14.38926275214447,0.5113702826512199,1.8622557786456344,2.490890292695547,1,1
27.0,15.813924101685268,0.5289393036714349,1.9015989474030528,2.5257782069166907,1,1
28.0,16.865450605038916,0.5838366983455472,2.012113469903103,2.6081219798235944,1,1
29.0,24.268794929406965,0.582384325970303,2.306581319858965,2.844314363878288,1,1
30.0,34.21181077858392,0.8970444107225533,4.753877909756457,3.204502471674969,1,1
31.0,31.19525050393858,0.8973477978553448,4.815976891334724,3.226065179071103,1,1
32.0,28.58660928314188,0.8772285845354433,4.622606977374681,3.135173673120861,1,1
33.0,25.14604327596447,0.7905484152717824,3.382810698330768,2.846034067540081,1,1
34.0,26.87035796170773,0.7684681295075717,3.400985142268208,3.0515159244916576,1,1
36.0,20.476788592752147,0.6997834934798433,2.927204563283946,2.843220924950247,1,1
42.0,14.941722392140754,0.5924215792071019,2.385054550232294,2.5125111962855846,1,1
43.0,17.63658533524242,0.6224079768001486,2.480292046191045,2.582996584208689,1,1
44.0,24.034875092909694,0.7265430218957445,3.031768106390325,2.7214557762788627,1,1
45.0,37.96411152964891,0.8852178557625031,4.5455279907034765,3.2193615489831857,1,1
48.0,25.4544534235243,0.8057752334095897,3.742789876918671,3.051263142127858,1,1
49.0,24.81258567974664,0.7658738294321442,3.505507507174535,2.9644668985311107,1,1
52.0,18.10026344849403,0.637645047648118,2.4536187354012795,2.7544053423314,1,1
54.0,16.399622790097613,0.6335840546526015,2.689269728580806,2.568714385887362,1,1
55.0,21.824867155286807,0.7181901187807012,3.033187094476997,2.704736949737324,1,1
59.0,26.173999745776364,0.8441560924053192,3.9143206119537353,3.112168788909912,1,1
65.0,14.642307749790486,0.5336300739481186,2.100235303505682,2.474862098693848,1,1
66.0,15.802667820281044,0.6010894549986775,2.445070478475675,2.525602776653042,1,1
70.0,23.675174708890488,0.8682242657810297,4.209704606684334,3.032405642295083,1,1
71.0,25.67113320406132,0.841337049654336,3.9129726557340505,3.0649239178667544,1,1
72.0,23.025869344870504,0.765559953657527,3.220490739423244,2.997520084609325,1,1
77.0,13.300931314503924,0.6905971410111611,2.4112846244195976,2.464257893354997,1,1
81.0,15.910071219779596,0.6422522087268724,2.566356391345019,2.569670900851724,1,1
83.0,16.874640686411496,0.5602200435668122,2.0925943717648905,2.550737440543362,1,1
92.0,,,,,0,0
98.0,13.746577385150244,0.4371455911866424,1.4729131012773955,2.35038898370568,1,1
99.0,28.0147664077966,0.8466842163809026,3.898903285702468,3.1509612933528004,1,1
104.0,,,,,0,0
107.0,,,,,0,0
108.0,7.409999847412109,0.6224780082702637,1.949074983596801,1.9365439414978027,0,0
109.0,21.670000076293945,0.8801360130310059,4.249166011810303,3.0294229984283447,1,1
110.0,14.223442374985485,0.5276234094904204,1.9684716680308711,2.5033033159856664,1,1
113.0,13.26076930624074,0.5722890437699168,2.049861699716089,2.4614793924858303,1,1
114.0,18.14622343520641,0.5143803812430373,1.9351703069771504,2.594328725994343,1,1
115.0,20.453909619379765,0.5142125849723254,1.879398770725478,2.735035923522424,1,1
116.0,22.99751279798785,0.5356289138417083,2.0291247770570675,2.834050053656016,1,1
117.0,21.979565256399937,0.5065493272025144,1.9219982473385444,2.799374524037925,1,1
119.0,27.48609523132393,0.8266305262710839,3.699520530585653,3.16425331996784,1,1
120.0,26.91809997561225,0.8105579676220612,3.523949970396197,3.1371180798326224,1,1
121.0,,,,,0,0
122.0,,,,,0,0
123.0,,,,,0,0
124.0,,,,,0,0
125.0,7.409999847412109,0.6224780082702637,1.949074983596801,1.9365439414978027,1,1
126.0,7.409999847412109,0.6224780082702637,1.949074983596801,1.9365439414978027,1,1
127.0,14.539999961853027,0.7513070106506348,3.099120497703552,2.4829834699630737,1,1
128.0,18.074999809265137,0.6336555033922195,2.614370495080948,2.7967114448547363,1,1
129.0,13.903846337036132,0.5533720736320202,1.9186200705858376,2.473641872406006,1,1
130.0,21.157890931444896,0.602650769123673,2.409827338021709,2.7676129107261898,1,1
131.0,21.26063459127401,0.5948559839398817,2.39669942453869,2.7463341279918927,1,1
132.0,23.93208741056991,0.5872781879441649,2.271676815502374,2.8167099682146355,1,1
133.0,23.482569805572165,0.5933972280503773,2.278862189011814,2.8262486000085376,1,1
134.0,20.70120213786887,0.4638401309573727,1.6087501684747916,2.786210951586334,1,1
138.0,,,,,0,0
140.0,,,,,0,0
143.0,,,,,0,0
146.0,25.75063475183204,0.6566133568223131,2.6654843257192167,2.9833639473904845,1,1
147.0,23.06713049842033,0.6337344238677675,2.5582763151021712,2.862333657306788,1,1
148.0,23.87110124451196,0.6547073607226221,2.6866803482138524,2.880889844774941,1,1
149.0,23.14066711410128,0.6536966040448329,2.6703909714516967,2.8266269666051302,1,1
151.0,20.865304025282825,0.5290025593842923,1.9380015137568327,2.743482643502431,1,1
157.0,,,,,0,0
158.0,,,,,0,0
161.0,25.27641329095605,0.5390339888043613,2.0676967499083263,2.9740361497466483,1,1
162.0,21.93440933553416,0.6239761356918506,2.5424497406046256,2.841725023042506,1,1
163.0,22.801656009723253,0.705669544225058,3.1657126194453578,2.8348533496961155,1,1
164.0,19.89847591030442,0.5730418273573168,2.361929436930444,2.733064525924873,1,1
166.0,21.19650974036126,0.5211384953871707,1.9888995849759337,2.7873892218455087,2,2
167.0,19.602285973506373,0.4897912771394885,1.983937181284624,2.7562544145622283,2,2
168.0,5.976666688919067,0.3140469988187154,0.8953839937845866,1.7778363625208538,1,1
169.0,3.581855304387151,0.0541104359620515,0.1157434929433539,1.4690571876868246,1,1
170.0,,,,,0,0
171.0,12.869999885559082,0.5271130204200745,1.4983750581741333,2.345458030700684,1,1
172.0,22.932177212144527,0.6032936070627187,2.363885871083852,2.897369607782397,2,2
173.0,21.54354274939694,0.5104883959429551,1.8653114380006028,2.8537190779928903,2,2
174.0,19.90095343850092,0.5335479010900048,2.1144967843608824,2.791090789307252,2,2
175.0,18.39356798628177,0.5555118482557202,2.155712168244747,2.705901728956304,1,1
177.0,17.197263152868235,0.5637077185704565,2.1876565215230848,2.5798351049661883,1,1
178.0,19.054846184646845,0.507488568207485,1.8928994017079743,2.652045591702864,1,1
179.0,20.637049519217392,0.5544152512018486,2.018411812697773,2.826811293904969,2,2
180.0,19.52097645131506,0.5935417959536939,2.1779198688211303,2.7575367993995794,2,2
181.0,17.732789296320327,0.6281279724525043,2.4383644557565343,2.6273973805930413,1,1
182.0,17.260814085098897,0.5973632264495823,2.2730508273897083,2.5822506260529923,1,1
183.0,19.51014958891569,0.6342420918512934,2.513934207486164,2.726573754029308,2,2
187.0,18.631201515229325,0.6306783542068264,2.356958435157031,2.6489292415494434,1,1
200.0,23.362166532151416,0.6560836431418366,2.824192767801929,2.726288822830984,2,2
201.0,21.90329155908919,0.7256857122290683,3.260582503676557,2.833555040267762,1,1
202.0,26.13021784116452,0.8029962816217876,4.041868204114468,2.977803072543656,1,1
203.0,39.2694548984156,0.8195034788876046,3.81824517166591,3.083419014726168,1,1
204.0,30.088417632229618,0.7769355059785242,3.591784042002088,3.004395509683823,1,1
205.0,22.797768408752383,0.7201996374620572,2.9201141641727,3.038822541492912,1,1
206.0,23.04802978794748,0.74746229812026,3.1704171181828613,2.982406567008922,1,1
207.0,26.03785673975294,0.803461997699886,3.79757061688764,3.141899310587404,2,2
208.0,26.451762153392632,0.6931953148677431,2.9229807798780243,3.10001696778988,2,2
209.0,25.67786008152012,0.666598141567896,2.885873006747543,2.9913615678261043,1,1
210.0,27.595056524003628,0.820120125935677,3.851678395724656,3.096710722001652,2,2
